datetime,open,high,low,close,volume
2025-09-28 08:00:00+00:00,109512.8,109588.9,109422.6,109505.9,163.251966
2025-09-28 09:00:00+00:00,109505.9,109561.0,109327.0,109520.1,167.973577
2025-09-28 10:00:00+00:00,109520.1,109520.1,109359.8,109363.1,114.57176
2025-09-28 11:00:00+00:00,109363.1,109446.0,109233.8,109372.4,184.722732
2025-09-28 12:00:00+00:00,109372.4,109442.2,109193.9,109313.0,306.80503
2025-09-28 13:00:00+00:00,109313.0,109674.1,109313.0,109630.1,240.842981
2025-09-28 14:00:00+00:00,109630.1,109885.0,109508.8,109847.1,271.353066
2025-09-28 15:00:00+00:00,109847.1,110038.3,109708.1,110033.7,336.759101
2025-09-28 16:00:00+00:00,110033.7,110393.6,110013.0,110227.4,319.928047
2025-09-28 17:00:00+00:00,110227.4,110382.1,110133.0,110214.5,333.895522
2025-09-28 18:00:00+00:00,110214.5,110300.3,110066.8,110300.2,142.136634
2025-09-28 19:00:00+00:00,110300.2,110392.5,110120.8,110336.3,110.171053
2025-09-28 20:00:00+00:00,110336.3,110954.4,110295.8,110814.4,304.081987
2025-09-28 21:00:00+00:00,110814.4,110908.2,110633.4,110845.6,126.929174
2025-09-28 22:00:00+00:00,110845.6,112029.0,110845.5,111937.9,778.446701
2025-09-28 23:00:00+00:00,111937.9,112355.1,111937.9,112176.0,615.254068
2025-09-29 00:00:00+00:00,112176.0,112323.2,111988.6,112265.4,503.485766
2025-09-29 01:00:00+00:00,112265.4,112321.1,111734.3,111869.8,536.109611
2025-09-29 02:00:00+00:00,111869.8,112030.8,111625.5,111745.7,496.971821
2025-09-29 03:00:00+00:00,111745.7,111860.3,111583.6,111860.2,487.864645
2025-09-29 04:00:00+00:00,111860.2,111904.9,111738.9,111800.4,390.476095
2025-09-29 05:00:00+00:00,111800.4,111810.9,111566.0,111754.5,307.62083
2025-09-29 06:00:00+00:00,111754.5,111864.6,111630.7,111642.3,326.645644
2025-09-29 07:00:00+00:00,111642.3,111862.6,111563.3,111857.1,451.504892
2025-09-29 08:00:00+00:00,111857.1,112436.4,111857.1,112098.8,472.609172
2025-09-29 09:00:00+00:00,112098.8,112227.9,111991.1,112115.9,312.933105
2025-09-29 10:00:00+00:00,112115.9,112248.3,112035.2,112096.0,420.448289
2025-09-29 11:00:00+00:00,112096.0,112123.0,111920.7,112107.4,452.234315
2025-09-29 12:00:00+00:00,112107.4,112522.8,111945.4,112024.2,532.206984
2025-09-29 13:00:00+00:00,112024.2,113492.1,111915.0,113226.4,1460.49211
2025-09-29 14:00:00+00:00,113226.4,114242.3,113205.4,114035.8,1084.877186
2025-09-29 15:00:00+00:00,114035.8,114128.3,113689.9,113812.0,569.003651
2025-09-29 16:00:00+00:00,113812.0,114065.4,113613.3,113639.0,401.462585
2025-09-29 17:00:00+00:00,113639.0,114169.7,113461.6,114055.4,525.958399
2025-09-29 18:00:00+00:00,114055.4,114149.5,113858.9,114014.0,316.091746
2025-09-29 19:00:00+00:00,114014.0,114411.7,113850.0,114257.3,498.364091
2025-09-29 20:00:00+00:00,114257.3,114414.6,114114.3,114248.6,429.390547
2025-09-29 21:00:00+00:00,114248.6,114330.0,114087.9,114169.0,163.988381
2025-09-29 22:00:00+00:00,114169.0,114211.4,114012.5,114182.2,132.137577
2025-09-29 23:00:00+00:00,114182.2,114394.0,114182.1,114305.6,240.111566
2025-09-30 00:00:00+00:00,114305.6,114798.7,114022.0,114514.1,783.345423
2025-09-30 01:00:00+00:00,114514.1,114772.3,114269.4,114502.3,739.041827
2025-09-30 02:00:00+00:00,114502.3,114590.0,114356.7,114457.3,472.455918
2025-09-30 03:00:00+00:00,114457.3,114514.2,114304.1,114362.6,274.728387
2025-09-30 04:00:00+00:00,114362.6,114362.7,114088.4,114094.8,166.684775
2025-09-30 05:00:00+00:00,114094.8,114212.3,113834.9,113901.2,390.754648
2025-09-30 06:00:00+00:00,113901.2,114070.7,113835.3,113882.2,638.571273
2025-09-30 07:00:00+00:00,113882.2,113983.0,113581.4,113700.0,530.306819
2025-09-30 08:00:00+00:00,113700.0,113738.5,113350.0,113442.6,447.095989
2025-09-30 09:00:00+00:00,113442.6,113454.2,112737.0,112781.5,574.696506
2025-09-30 10:00:00+00:00,112781.5,113083.0,112650.0,112918.7,384.768362
2025-09-30 11:00:00+00:00,112918.7,113130.0,112803.7,113047.7,295.719922
2025-09-30 12:00:00+00:00,113047.7,113245.3,112977.6,112998.3,289.459354
2025-09-30 13:00:00+00:00,112998.3,113668.8,112845.8,113387.4,871.195837
2025-09-30 14:00:00+00:00,113387.4,113631.6,112891.3,113592.6,632.218333
2025-09-30 15:00:00+00:00,113592.6,113599.4,112916.9,113105.4,479.845928
2025-09-30 16:00:00+00:00,113105.4,113283.3,112793.6,112839.5,277.449145
2025-09-30 17:00:00+00:00,112839.5,113516.3,112807.6,113240.4,447.663976
2025-09-30 18:00:00+00:00,113240.4,113716.8,113174.5,113716.7,244.118383
2025-09-30 19:00:00+00:00,113716.7,114574.4,113716.6,114369.7,728.31052
2025-09-30 20:00:00+00:00,114369.7,114726.6,114121.0,114635.8,416.446393
2025-09-30 21:00:00+00:00,114635.8,114772.7,114138.2,114165.5,296.408669
2025-09-30 22:00:00+00:00,114165.5,114370.2,113888.1,113943.5,272.44986
2025-09-30 23:00:00+00:00,113943.5,114051.1,113770.1,114051.1,252.929948
2025-10-01 00:00:00+00:00,114051.1,114300.3,113962.3,114241.0,256.712737
2025-10-01 01:00:00+00:00,114241.0,114550.0,114142.2,114549.4,240.479371
2025-10-01 02:00:00+00:00,114549.4,114551.9,114252.4,114275.5,219.500905
2025-10-01 03:00:00+00:00,114275.5,114533.5,114100.1,114178.1,296.903591
2025-10-01 04:00:00+00:00,114178.1,114710.2,114140.7,114291.0,280.776
2025-10-01 05:00:00+00:00,114291.0,114745.0,114258.6,114575.5,275.176736
2025-10-01 06:00:00+00:00,114575.5,114647.4,114225.4,114268.4,268.539472
2025-10-01 07:00:00+00:00,114268.4,114599.8,114239.9,114529.9,279.404969
2025-10-01 08:00:00+00:00,114529.9,116600.0,114467.4,116114.7,1230.056071
2025-10-01 09:00:00+00:00,116114.7,116526.4,115941.7,116410.9,559.69686
2025-10-01 10:00:00+00:00,116410.9,116553.7,116202.5,116265.9,245.250883
2025-10-01 11:00:00+00:00,116265.9,116779.7,116258.1,116774.6,327.369313
2025-10-01 12:00:00+00:00,116774.6,116883.1,116342.3,116394.3,591.483872
2025-10-01 13:00:00+00:00,116394.3,116831.6,116394.2,116813.7,461.722229
2025-10-01 14:00:00+00:00,116813.7,117429.9,116707.2,117294.9,806.167254
2025-10-01 15:00:00+00:00,117294.9,117658.7,117081.4,117416.3,459.638424
2025-10-01 16:00:00+00:00,117416.3,118188.0,117303.0,117524.5,1074.45406
2025-10-01 17:00:00+00:00,117524.5,117670.1,116715.0,116768.2,365.394271
2025-10-01 18:00:00+00:00,116768.2,117300.0,116764.1,117216.0,665.474445
2025-10-01 19:00:00+00:00,117216.0,117609.5,117193.4,117432.9,724.328751
2025-10-01 20:00:00+00:00,117432.9,117533.0,117156.4,117532.9,208.578025
2025-10-01 21:00:00+00:00,117532.9,117584.9,117330.9,117552.4,121.195647
2025-10-01 22:00:00+00:00,117552.4,118073.3,117552.3,117745.0,317.282379
2025-10-01 23:00:00+00:00,117745.0,118637.1,117681.1,118584.0,568.480966
2025-10-02 00:00:00+00:00,118584.0,119440.1,118403.7,118435.2,787.542611
2025-10-02 01:00:00+00:00,118435.2,118893.9,118372.8,118623.7,325.953825
2025-10-02 02:00:00+00:00,118623.7,118785.8,118465.0,118738.7,394.290458
2025-10-02 03:00:00+00:00,118738.7,119077.7,118692.3,118733.2,374.319737
2025-10-02 04:00:00+00:00,118733.2,118943.4,118428.5,118655.9,249.206415
2025-10-02 05:00:00+00:00,118655.9,118679.2,118259.0,118363.9,300.070568
2025-10-02 06:00:00+00:00,118363.9,118668.5,118291.2,118637.9,259.66241
2025-10-02 07:00:00+00:00,118637.9,118664.2,118411.3,118480.2,265.834422
2025-10-02 08:00:00+00:00,118480.2,118672.5,118342.0,118666.9,211.696973
2025-10-02 09:00:00+00:00,118666.9,118867.0,118558.6,118860.4,200.494632
2025-10-02 10:00:00+00:00,118860.4,118931.4,118562.1,118606.6,274.251705
2025-10-02 11:00:00+00:00,118606.6,118886.4,118526.1,118753.9,219.289302
2025-10-02 12:00:00+00:00,118753.9,119406.1,118730.2,119400.4,395.51229
2025-10-02 13:00:00+00:00,119400.4,119775.0,118925.2,119619.8,903.792001
2025-10-02 14:00:00+00:00,119619.8,119801.0,118648.7,118810.2,826.345965
2025-10-02 15:00:00+00:00,118810.2,119999.1,118499.9,119950.0,1117.645361
2025-10-02 16:00:00+00:00,119950.0,120301.6,119599.4,119727.2,911.513002
2025-10-02 17:00:00+00:00,119727.2,119955.7,119353.6,119910.0,515.71912
2025-10-02 18:00:00+00:00,119910.0,120667.4,119902.6,120502.3,633.366772
2025-10-02 19:00:00+00:00,120502.3,121024.9,120440.8,120833.7,961.259829
2025-10-02 20:00:00+00:00,120833.7,120916.1,120306.3,120636.9,466.876271
2025-10-02 21:00:00+00:00,120636.9,120756.5,120134.2,120134.2,266.077519
2025-10-02 22:00:00+00:00,120134.2,120411.8,120067.1,120253.3,262.497873
2025-10-02 23:00:00+00:00,120253.3,120673.0,120238.2,120530.8,358.951535
2025-10-03 00:00:00+00:00,120530.8,120555.0,120075.6,120127.9,331.574883
2025-10-03 01:00:00+00:00,120127.9,120291.2,119813.4,119865.3,347.863971
2025-10-03 02:00:00+00:00,119865.3,120272.6,119857.6,120157.7,301.573848
2025-10-03 03:00:00+00:00,120157.7,120469.0,120148.2,120223.7,341.379961
2025-10-03 04:00:00+00:00,120223.7,120322.2,120001.1,120035.0,222.44624
2025-10-03 05:00:00+00:00,120035.0,120063.4,119749.0,119918.6,262.902653
2025-10-03 06:00:00+00:00,119918.6,120071.4,119774.4,119917.0,265.862057
2025-10-03 07:00:00+00:00,119917.0,120016.6,119606.3,119632.3,458.81439
2025-10-03 08:00:00+00:00,119632.3,120097.5,119234.9,120040.3,582.379992
2025-10-03 09:00:00+00:00,120040.3,120356.0,120003.8,120297.5,387.189552
2025-10-03 10:00:00+00:00,120297.5,120512.7,120266.7,120419.2,571.035934
2025-10-03 11:00:00+00:00,120419.2,120469.0,120121.0,120335.0,223.925237
2025-10-03 12:00:00+00:00,120335.0,120397.9,120091.2,120348.3,415.50409
2025-10-03 13:00:00+00:00,120348.3,120687.3,120107.6,120372.1,814.502385
2025-10-03 14:00:00+00:00,120372.1,120981.8,119877.8,120909.4,819.514722
2025-10-03 15:00:00+00:00,120909.4,122378.6,120646.1,122270.8,1135.853135
2025-10-03 16:00:00+00:00,122270.8,123900.0,122270.8,122544.4,2111.819087
2025-10-03 17:00:00+00:00,122544.4,123121.1,121600.0,122073.1,1873.710712
2025-10-03 18:00:00+00:00,122073.1,122732.0,121479.5,122542.9,665.012857
2025-10-03 19:00:00+00:00,122542.9,122959.9,122357.9,122656.9,457.520725
2025-10-03 20:00:00+00:00,122656.9,122726.7,122025.9,122441.5,386.608671
2025-10-03 21:00:00+00:00,122441.5,122455.2,122000.0,122296.3,221.509267
2025-10-03 22:00:00+00:00,122296.3,122660.7,122296.3,122470.5,134.373291
2025-10-03 23:00:00+00:00,122470.5,122470.5,122177.4,122223.8,117.456492
2025-10-04 00:00:00+00:00,122223.8,122285.2,121977.7,122104.0,250.347033
2025-10-04 01:00:00+00:00,122104.0,122118.3,121694.6,121860.3,252.550014
2025-10-04 02:00:00+00:00,121860.3,122031.5,121680.1,121856.9,275.390774
2025-10-04 03:00:00+00:00,121856.9,122341.2,121829.4,122243.4,213.652355
2025-10-04 04:00:00+00:00,122243.4,122532.0,122224.1,122495.5,183.077527
2025-10-04 05:00:00+00:00,122495.5,122796.0,122407.3,122535.0,269.807941
2025-10-04 06:00:00+00:00,122535.0,122610.8,122383.4,122446.2,183.690882
2025-10-04 07:00:00+00:00,122446.2,122462.0,122255.0,122310.0,186.480698
2025-10-04 08:00:00+00:00,122310.0,122525.4,122199.2,122274.4,235.823009
2025-10-04 09:00:00+00:00,122274.4,122459.4,122162.1,122219.1,142.853244
2025-10-04 10:00:00+00:00,122219.1,122340.8,122107.5,122121.6,101.639874
2025-10-04 11:00:00+00:00,122121.6,122215.1,121963.6,121974.8,207.548608
2025-10-04 12:00:00+00:00,121974.8,122108.8,121956.0,122008.8,105.437226
2025-10-04 13:00:00+00:00,122008.8,122510.1,122003.7,122398.3,283.968055
2025-10-04 14:00:00+00:00,122398.3,122462.2,122000.0,122000.1,157.019406
2025-10-04 15:00:00+00:00,122000.1,122141.2,121704.7,121802.1,389.504632
2025-10-04 16:00:00+00:00,121802.1,121966.3,121600.1,121721.5,370.802611
2025-10-04 17:00:00+00:00,121721.5,121917.1,121664.6,121748.5,152.835643
2025-10-04 18:00:00+00:00,121748.5,121836.0,121523.3,121589.4,161.977009
2025-10-04 19:00:00+00:00,121589.4,122007.4,121589.4,121993.3,198.479662
2025-10-04 20:00:00+00:00,121993.3,122100.8,121891.3,121891.3,153.725973
2025-10-04 21:00:00+00:00,121891.3,122345.3,121874.0,122200.0,173.560961
2025-10-04 22:00:00+00:00,122200.0,122374.3,122144.8,122280.8,113.51897
2025-10-04 23:00:00+00:00,122280.8,122421.9,122211.1,122397.8,94.328725
2025-10-05 00:00:00+00:00,122397.8,122422.3,122153.9,122154.0,101.52562
2025-10-05 01:00:00+00:00,122154.0,122419.9,122132.3,122376.4,104.492421
2025-10-05 02:00:00+00:00,122376.4,124362.1,122336.9,124032.1,1308.401816
2025-10-05 03:00:00+00:00,124032.1,124167.1,123350.1,123765.0,704.616932
2025-10-05 04:00:00+00:00,123765.0,125782.0,123725.4,125210.8,1757.931592
2025-10-05 05:00:00+00:00,125210.8,125454.2,124886.5,125144.6,946.460512
2025-10-05 06:00:00+00:00,125144.6,125233.9,124801.4,124991.5,448.874532
2025-10-05 07:00:00+00:00,124991.5,125162.8,124614.1,124711.9,600.462464
2025-10-05 08:00:00+00:00,124711.9,124855.6,124536.5,124596.3,329.651564
2025-10-05 09:00:00+00:00,124596.3,124663.1,122779.7,123025.7,1423.455339
2025-10-05 10:00:00+00:00,123025.7,123139.4,122521.2,123027.5,575.634748
2025-10-05 11:00:00+00:00,123027.5,123553.2,122849.0,123475.2,379.230332
2025-10-05 12:00:00+00:00,123475.2,123475.2,122939.1,123093.5,315.906357
2025-10-05 13:00:00+00:00,123093.5,123349.4,123072.8,123175.3,221.037982
2025-10-05 14:00:00+00:00,123175.3,123341.2,122777.0,123031.7,272.201581
2025-10-05 15:00:00+00:00,123031.7,123031.7,122679.3,122805.3,206.310019
2025-10-05 16:00:00+00:00,122805.3,123341.2,122300.0,123260.6,452.607036
2025-10-05 17:00:00+00:00,123260.6,123469.5,122901.4,123062.6,282.662866
2025-10-05 18:00:00+00:00,123062.6,123218.7,122869.1,123014.9,216.024826
2025-10-05 19:00:00+00:00,123014.9,123039.5,122520.1,122605.1,257.361954
2025-10-05 20:00:00+00:00,122605.1,123069.3,122482.6,122720.9,212.759937
2025-10-05 21:00:00+00:00,122720.9,122802.8,122501.1,122748.1,142.657925
2025-10-05 22:00:00+00:00,122748.1,123282.7,122748.1,123245.5,229.927322
2025-10-05 23:00:00+00:00,123245.5,123588.0,123224.8,123496.8,255.683045
2025-10-06 00:00:00+00:00,123496.8,124368.0,123087.3,123357.7,949.153602
2025-10-06 01:00:00+00:00,123357.7,124257.3,123200.1,124030.9,527.812228
2025-10-06 02:00:00+00:00,124030.9,124244.4,123468.9,124115.6,491.253988
2025-10-06 03:00:00+00:00,124115.6,124135.7,123750.0,123840.8,271.558555
2025-10-06 04:00:00+00:00,123840.8,123996.3,123569.6,123580.7,232.097989
2025-10-06 05:00:00+00:00,123580.7,123750.0,123285.0,123582.6,582.589265
2025-10-06 06:00:00+00:00,123582.6,124174.9,123582.5,123957.8,389.990416
2025-10-06 07:00:00+00:00,123957.8,124056.1,123282.3,123382.8,658.428468
2025-10-06 08:00:00+00:00,123382.8,123879.6,123382.8,123841.0,327.105374
2025-10-06 09:00:00+00:00,123841.0,124067.0,123786.5,123969.0,227.142169
2025-10-06 10:00:00+00:00,123969.0,124157.1,123902.7,123980.8,241.868135
2025-10-06 11:00:00+00:00,123980.8,124531.6,123735.4,124218.3,434.93797
2025-10-06 12:00:00+00:00,124218.3,124683.5,124182.3,124560.9,437.901784
