datetime,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_mid,bb_lower,bb_width,senal
2025-09-29 17:00:00+00:00,113639.0,114169.7,113461.6,114055.4,525.958399,80.3015447659795,846.8732900905161,702.0844220720367,144.78886801847943,114021.27686699129,112406.01000000001,110790.74313300873,2.8739866613738565,0
2025-09-29 18:00:00+00:00,114055.4,114149.5,113858.9,114014.0,316.091746,79.30767861352894,869.2540542960633,735.518348516842,133.73570577922123,114253.16984428723,112509.81499999999,110766.46015571275,3.099027128054991,0
2025-09-29 19:00:00+00:00,114014.0,114411.7,113850.0,114257.3,498.364091,80.81077838932413,896.291358966555,767.6729506067846,128.61840835977034,114507.13705872174,112613.87999999998,110720.62294127821,3.3623866946450365,0
2025-09-29 20:00:00+00:00,114257.3,114414.6,114114.3,114248.6,429.390547,80.58535625771844,906.566268791401,795.4516142437079,111.11465454769302,114726.80902886098,112713.04,110699.270971139,3.5732671727441447,0
2025-09-29 21:00:00+00:00,114248.6,114330.0,114087.9,114169.0,163.988381,78.42966712472814,897.935314736329,815.9483543422323,81.98696039409674,114897.82019992068,112828.0,110758.17980007932,3.66898323097224,0
2025-09-29 22:00:00+00:00,114169.0,114211.4,114012.5,114182.2,132.137577,78.53222348858122,881.9932816192595,829.1573397976377,52.83594182162176,115037.23660471519,112949.825,110862.4133952848,3.6961750134897353,0
2025-09-29 23:00:00+00:00,114182.2,114394.0,114182.1,114305.6,240.111566,79.51287067806953,869.2957538879855,837.1850226157073,32.110731272278144,115176.2946193089,113072.09500000002,110967.89538069113,3.7218725262123873,0
2025-09-30 00:00:00+00:00,114305.6,114798.7,114022.0,114514.1,783.345423,81.08506478365054,866.073522715189,842.9627226356037,23.110800079585374,115316.44033547357,113207.77999999998,111099.1196645264,3.725292264318911,0
2025-09-30 01:00:00+00:00,114514.1,114772.3,114269.4,114502.3,739.041827,80.70757951422297,852.7378883465863,844.9177557778003,7.8201325687859935,115414.87921058963,113345.17,111275.46078941037,3.6520465946447125,0
2025-09-30 02:00:00+00:00,114502.3,114590.0,114356.7,114457.3,472.455918,79.19344805443535,828.9821874783665,841.7306421179136,-12.748454639547049,115453.62611281245,113485.92,111518.21388718755,3.46775373158617,0
2025-09-30 03:00:00+00:00,114457.3,114514.2,114304.1,114362.6,274.728387,75.96363669913502,793.3686647185968,832.0582466380504,-38.68958191945353,115463.81333357532,113611.19499999999,111758.57666642466,3.2613305996391118,0
2025-09-30 04:00:00+00:00,114362.6,114362.7,114088.4,114094.8,166.684775,67.57108415755201,735.0621307647234,812.6590234633851,-77.59689269866169,115437.74384158045,113710.995,111984.24615841954,3.0370833384765556,0
2025-09-30 05:00:00+00:00,114094.8,114212.3,113834.9,113901.2,390.754648,62.21936450042997,665.5597223306104,783.2391632368302,-117.67944090621984,115364.91925287247,113800.26000000001,112235.60074712755,2.74983423214052,0
2025-09-30 06:00:00+00:00,113901.2,114070.7,113835.3,113882.2,638.571273,61.702864028628355,602.0058727331489,746.992505136094,-144.98663240294513,115244.8175332571,113889.57000000002,112534.32246674295,2.379932654512745,0
2025-09-30 07:00:00+00:00,113882.2,113983.0,113581.4,113700.0,530.306819,56.83084764224256,530.8180319062812,703.7576104901315,-172.93957858385022,115056.99295088695,113969.2,112881.40704911304,1.9089244302617838,0
2025-09-30 08:00:00+00:00,113700.0,113738.5,113350.0,113442.6,447.095989,50.735979431310774,448.4615408663667,652.6983965653785,-204.2368556990118,114719.84893891559,114040.12,113360.3910610844,1.1920873792759814,0
2025-09-30 09:00:00+00:00,113442.6,113454.2,112737.0,112781.5,574.696506,39.128937797648945,326.0892297568498,587.3765632036728,-261.287333446823,114820.65073674054,114017.875,113215.09926325946,1.4081576888545642,0
2025-09-30 10:00:00+00:00,112781.5,113083.0,112650.0,112918.7,384.768362,42.0898908061677,237.44210020087485,517.3896706031132,-279.9475704022384,114896.65502737663,113962.01999999999,113027.38497262335,1.6402570389269056,0
2025-09-30 11:00:00+00:00,112918.7,113130.0,112803.7,113047.7,295.719922,44.808299152901476,175.57392632993287,449.0265217484772,-273.4525954185443,114938.88928315061,113923.80500000001,112908.7207168494,1.78204069491991,0
2025-09-30 12:00:00+00:00,113047.7,113245.3,112977.6,112998.3,289.459354,43.957330536495036,121.16012712815427,383.45324282441265,-262.2931156962584,114978.68317978915,113891.76999999999,112804.85682021083,1.9086772991396317,0
2025-09-30 13:00:00+00:00,112998.3,113668.8,112845.8,113387.4,871.195837,51.73279283927545,108.18680721646524,328.3999557028232,-220.21314848635797,114964.01048605294,113858.37,112752.72951394705,1.9421329956733857,0
2025-09-30 14:00:00+00:00,113387.4,113631.6,112891.3,113592.6,632.218333,55.2582931959722,113.15885791566689,285.35173614539195,-172.19287822972507,114946.33007353246,113837.3,112728.26992646755,1.9484476064215444,0
2025-09-30 15:00:00+00:00,113592.6,113599.4,112916.9,113105.4,479.845928,46.56232644679817,76.89982233339106,243.6613533829918,-166.76153104960073,114914.84133097502,113779.705,112644.56866902499,1.9953230340595731,0
2025-09-30 16:00:00+00:00,113105.4,113283.3,112793.6,112839.5,277.449145,42.62019104342896,26.403998759415117,200.20988245827647,-173.80588369886135,114893.10110803659,113709.25,112525.39889196341,2.0822423998691155,0
2025-09-30 17:00:00+00:00,112839.5,113516.3,112807.6,113240.4,447.663976,49.554759855113694,18.521470332416357,163.87220003310446,-145.3507297006881,114843.73935304637,113662.81999999999,112481.90064695361,2.077934285013132,0
2025-09-30 18:00:00+00:00,113240.4,113716.8,113174.5,113716.7,244.118383,56.31041527015439,50.13007090576866,141.1237742076373,-90.99370330186863,114796.71098200063,113639.545,112482.37901799937,2.0365551129241704,0
2025-09-30 19:00:00+00:00,113716.7,114574.4,113716.6,114369.7,728.31052,63.522899665084374,126.4145292363828,138.1819252133864,-11.767395977003588,114807.60682982909,113642.75,112477.89317017091,2.0500328086553554,0
2025-09-30 20:00:00+00:00,114369.7,114726.6,114121.0,114635.8,416.446393,65.98705236473518,205.9682840055466,151.73919697181844,54.22908703372815,114832.94767246807,113648.835,112464.72232753194,2.0838096096067593,0
2025-09-30 21:00:00+00:00,114635.8,114772.7,114138.2,114165.5,296.408669,58.46926970404058,228.43269832318765,167.0778972420923,61.35480108109536,114775.97774545531,113631.995,112488.01225454468,2.0134870384970642,0
2025-09-30 22:00:00+00:00,114165.5,114370.2,113888.1,113943.5,272.44986,55.26838179965459,225.72039958833193,178.80639771134025,46.91400187699168,114696.82690344784,113606.30500000001,112515.78309655217,1.9198263748615638,0
2025-09-30 23:00:00+00:00,113943.5,114051.1,113770.1,114051.1,252.929948,56.511079247057936,229.60654274946137,188.96642671896447,40.6401160304969,114645.9265657637,113590.73000000001,112535.53343423632,1.8578920405981896,0
2025-10-01 00:00:00+00:00,114051.1,114300.3,113962.3,114241.0,256.712737,58.69220252484164,245.1833609782625,200.20981357082408,44.97354740743842,114669.01103116728,113598.04000000001,112527.06896883274,1.8855449111045717,0
2025-10-01 01:00:00+00:00,114241.0,114550.0,114142.2,114549.4,240.479371,62.02333915946131,279.1950178700354,216.00685443066635,63.18816343936902,114772.9968436784,113630.45,112487.9031563216,2.0109870966424923,0
2025-10-01 02:00:00+00:00,114549.4,114551.9,114252.4,114275.5,219.500905,57.582042153980225,280.8110451456887,228.96769257367083,51.843352572017864,114822.46679408719,113650.11499999999,112477.7632059128,2.063089499007013,0
2025-10-01 03:00:00+00:00,114275.5,114533.5,114100.1,114178.1,296.903591,56.04514681861956,271.1072369411995,237.39560144717657,33.71163549402294,114868.74961895126,113674.01999999999,112479.29038104872,2.1020275678669074,0
2025-10-01 04:00:00+00:00,114178.1,114710.2,114140.7,114291.0,280.776,57.46240770675938,269.4212648500252,243.8007341277463,25.620530722278886,114935.29309106531,113716.44000000002,112497.58690893473,2.143670855445864,0
2025-10-01 05:00:00+00:00,114291.0,114745.0,114258.6,114575.5,275.176736,60.88503005266257,287.72517543558206,252.58562238931347,35.13955304626859,115000.3731236402,113806.14000000001,112611.90687635983,2.0987147506104336,0
2025-10-01 06:00:00+00:00,114575.5,114647.4,114225.4,114268.4,268.539472,55.67732183650608,274.2889210460853,256.92628212066785,17.362638925417457,115010.81573312235,113873.625,112736.43426687765,1.9972855577792457,0
2025-10-01 07:00:00+00:00,114268.4,114599.8,114239.9,114529.9,279.404969,58.90094669905966,281.49654030163947,261.8403337568622,19.656206544777262,115052.69769127028,113947.73499999999,112842.77230872969,1.9394201934251616,0
2025-10-01 08:00:00+00:00,114529.9,116600.0,114467.4,116114.7,1230.056071,72.13029243881556,410.3583896864584,291.5439449427815,118.81444474367692,115475.66474703164,114103.55500000001,112731.44525296838,2.405025412278576,-1
2025-10-01 09:00:00+00:00,116114.7,116526.4,115941.7,116410.9,559.69686,73.82607687834758,530.2705692365562,339.2892698015364,190.98129943501976,115914.0859679584,114254.73000000001,112595.37403204163,2.904660433678999,0
2025-10-01 10:00:00+00:00,116410.9,116553.7,116202.5,116265.9,245.250883,71.53149700623956,606.6089370409027,392.7532032494097,213.85573379149298,116233.19163537718,114388.39499999999,112543.5983646228,3.225496144739494,0
2025-10-01 11:00:00+00:00,116265.9,116779.7,116258.1,116774.6,327.369313,74.52318896240632,700.0853341862967,454.2196294367871,245.86570474950958,116591.3163058682,114571.85500000001,112552.39369413182,3.5252310541156655,0
2025-10-01 12:00:00+00:00,116774.6,116883.1,116342.3,116394.3,591.483872,68.70991333144948,735.0063252923865,510.376968607907,224.6293566844795,116753.56813402618,114749.595,112745.62186597382,3.4927759597341996,0
2025-10-01 13:00:00+00:00,116394.3,116831.6,116394.2,116813.7,461.722229,71.36295723275748,787.4463459562103,565.7908440775677,221.65550187864255,116998.23477607786,114928.26000000001,112858.28522392215,3.602203280686326,-1
2025-10-01 14:00:00+00:00,116813.7,117429.9,116707.2,117294.9,806.167254,74.07863034170154,857.9444094853534,624.2215571591248,233.72285232622858,117339.51895847365,115107.17,112874.82104152635,3.878731374376857,0
2025-10-01 15:00:00+00:00,117294.9,117658.7,117081.4,117416.3,459.638424,74.7297146391325,913.0851212590642,681.9942699791127,231.0908512799515,117677.8068514972,115259.5,112841.1931485028,4.196282044425312,0
2025-10-01 16:00:00+00:00,117416.3,118188.0,117303.0,117524.5,1074.45406,75.32460461849986,954.5123442013282,736.4978848235559,218.01445937777237,117994.88208805452,115403.93500000001,112812.9879119455,4.490223124635243,0
2025-10-01 17:00:00+00:00,117524.5,117670.1,116715.0,116768.2,365.394271,63.985925027288786,915.7603126694739,772.3503703927395,143.40994227673445,118124.58459914783,115534.06999999999,112943.55540085216,4.484416759745129,0
2025-10-01 18:00:00+00:00,116768.2,117300.0,116764.1,117216.0,665.474445,67.13997244328647,910.6849567665049,800.0172876674926,110.6676690990123,118279.06449038643,115697.69499999999,113116.32550961355,4.462266063963397,0
2025-10-01 19:00:00+00:00,117216.0,117609.5,117193.4,117432.9,724.328751,68.57554091154744,913.6329262810759,822.7404153902094,90.89251089086656,118437.58934749472,115866.78499999999,113295.98065250526,4.437517356669098,0
2025-10-01 20:00:00+00:00,117432.9,117533.0,117156.4,117532.9,208.578025,69.24269988084355,913.5080257437221,840.893937460912,72.61408828281014,118586.22273535527,116031.37999999998,113476.53726464468,4.403709988376073,0
2025-10-01 21:00:00+00:00,117532.9,117584.9,117330.9,117552.4,121.195647,69.3792201262753,904.5553768812097,853.6262253449715,50.92915153623812,118723.27914899122,116181.53,113639.78085100878,4.3754788717126045,0
2025-10-01 22:00:00+00:00,117552.4,118073.3,117552.3,117745.0,317.282379,70.75972109453981,902.5969724802999,863.4203747720373,39.176597708262534,118825.31106401261,116355.005,113884.6989359874,4.2461535092755245,-1
2025-10-01 23:00:00+00:00,117745.0,118637.1,117681.1,118584.0,568.480966,75.86440485009612,957.7053796023101,882.277375738092,75.42800386421811,119015.42154779169,116575.3,114135.17845220832,4.186344015913637,0
2025-10-02 00:00:00+00:00,118584.0,119440.1,118403.7,118435.2,787.542611,73.41643384233463,978.0973751582787,901.4413756221294,76.65599953614935,119112.89398887331,116782.50999999998,114452.12601112665,3.9909811646852513,0
2025-10-02 01:00:00+00:00,118435.2,118893.9,118372.8,118623.7,325.953825,74.53732970987667,997.9646380564518,920.746028108994,77.21860994745782,119214.41047954842,116984.92,114755.42952045158,3.8115861079332585,0
2025-10-02 02:00:00+00:00,118623.7,118785.8,118465.0,118738.7,394.290458,75.22370180067543,1011.3311302068032,938.863048528556,72.46808167824724,119185.81828431712,117208.43499999998,115231.05171568284,3.374131365745376,0
2025-10-02 03:00:00+00:00,118738.7,119077.7,118692.3,118733.2,374.319737,75.11940827234474,1009.8395655929053,953.0583519414258,56.78121365147945,119080.95948458709,117418.6,115756.24051541292,2.8315096323531073,0
2025-10-02 04:00:00+00:00,118733.2,118943.4,118428.5,118655.9,249.206415,73.57544472543577,990.9964358744037,960.6459687280214,30.350467146382243,119178.1468445401,117545.65999999999,115913.17315545988,2.7776216400335123,0
2025-10-02 05:00:00+00:00,118655.9,118679.2,118259.0,118363.9,300.070568,67.89827756019241,941.646446084982,956.8460641994136,-15.199618114431587,119225.47260087146,117643.30999999998,116061.1473991285,2.6897621307518147,0
2025-10-02 06:00:00+00:00,118363.9,118668.5,118291.2,118637.9,259.66241,70.22032523187931,914.1084603971394,948.2985434389587,-34.19008304181932,119267.02290194333,117761.91,116256.79709805668,2.5561964848282916,-1
2025-10-02 07:00:00+00:00,118637.9,118664.2,118411.3,118480.2,265.834422,67.20715199102858,869.535868073086,932.5460083657842,-63.010140292698225,119311.6032038452,117847.18999999999,116382.77679615478,2.485274708451187,0
2025-10-02 08:00:00+00:00,118480.2,118672.5,118342.0,118666.9,211.696973,68.90815494592958,839.5985280120949,913.9565122950464,-74.35798428295152,119304.34742822617,117960.81999999999,116617.29257177381,2.2779214797356984,0
2025-10-02 09:00:00+00:00,118666.9,118867.0,118558.6,118860.4,200.494632,70.60972900952332,822.0111700952257,895.5674438550824,-73.55627375985671,119352.28188200034,118063.155,116774.02811799965,2.183792025548269,-1
